DATASET,Index,WellID,Well Name,Loop,Channel,fps,version,HROI Change Intensity,Harmonic Intensity,Heart size,Intensity/Harmonic Intensity (top 5 %),Movement detection max,SNR,SNR Top 5%,Signal Intensity Top 5%,Signal intensity,Signal regional prominence,Stop frame,empty frames,Heartrate (BPM),ground truth,error
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,63,WE00064,F009,LO001,CO6,13,v1.3.1(feb22-region),325.3277927,7553.086675,5595,26.85988005,5353,0.375717723,0.614654412,202875,48655,0.839857015,130,0,108,105.8,2.2
F2_24FPS_210719155352_OlE_HR_IPF2_2x_BQ_21C,39,WE00039,D010,LO001,CO6,24,v1.3.1(feb22-region),325.427907,9119.49079,430,37.14072233,5306,0.439873149,0.512560963,338704,156033,0.993023256,240,0,90,NA,200
OMAR_13FPS_170829142203_Ol_GIGYF1_CCDC141_Temp_28C,49,WE00061,F012,LO001,CO6,13,v1.3.1(feb22-region),325.9978903,6947.994105,474,4.391991874,5207,0.190510314,0.308067432,30516,11617,0.426160338,130,0,156,NA,200
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,159,WE00093,H004,LO002,CO6,13,v1.3.1(feb22-region),327.1649632,29915.51913,4207,9.417554032,2924,0.466554677,0.775289846,281731,63191,0.906584264,130,0,102,100.9,1.1
F2_24FPS_210719155352_OlE_HR_IPF2_2x_BQ_21C,64,WE00064,F009,LO001,CO6,24,v1.3.1(feb22-region),327.8298071,129848.9734,3214,5.206634723,5920,0.538113754,0.809418692,676076,146329,0.860920971,240,0,102,103.3,1.3
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,53,WE00065,F008,LO001,CO6,13,v1.3.1(feb22-region),328.1064302,50985.08744,4510,7.82268286,4900,0.53500903,0.835874207,398840,75914,0.974501109,130,0,90,90,0
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,92,WE00094,H003,LO001,CO6,13,v1.3.1(feb22-region),328.1569696,3805.144639,7339,25.74515987,114451,0.352992915,0.592034892,97964,23384,0.804469274,104,0,158,161.2,3.2
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,18,WE00030,C006,LO001,CO6,13,v1.3.1(feb22-region),328.211363,3008.313542,3837,33.48645364,4334,0.411707832,0.753359067,100738,24128,0.91555903,130,0,168,167.6,0.4
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,47,WE00047,D002,LO001,CO6,13,v1.3.1(feb22-region),328.2168508,2942.725578,2172,23.49601207,6656,0.361049436,0.585333278,69142,19739,0.876151013,130,0,162,161,1
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,54,WE00054,E006,LO001,CO6,13,v1.3.1(feb22-region),328.3702575,2466.521801,2952,43.55368301,7091,0.504850007,0.76317048,107426,25836,0.953929539,130,0,162,162.5,0.5
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,116,WE00046,D003,LO002,CO6,13,v1.3.1(feb22-region),328.4749087,4844.554903,5201,29.06240242,4916,0.35596815,0.635608052,140794,27736,0.829840415,130,0,150,152.2,2.2
