DATASET,Index,WellID,Well Name,Loop,Channel,fps,version,HROI Change Intensity,Harmonic Intensity,Heart size,Intensity/Harmonic Intensity (top 5 %),Movement detection max,SNR,SNR Top 5%,Signal Intensity Top 5%,Signal intensity,Signal regional prominence,Start frame(movement),Stop frame(movement),empty frames,ground truth,Heartrate (BPM),error
200313140410_OlE_HR_IPF0_21C_2x,125,WE00029,C005,LO002,CO1,23.79,v1.4(may22-region),540.737,13.626,8593.000,7.330,7265.000,0.546,0.808,100.000,12.000,0.914,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,129,WE00033,C009,LO002,CO1,23.79,v1.4(may22-region),389.902,0.402,1192.000,34.516,3384.000,0.454,0.608,14.000,3.000,0.998,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,131,WE00035,C011,LO002,CO1,23.79,v1.4(may22-region),207.402,0.162,647.000,16.332,2131.000,0.379,0.596,3.000,1.000,0.887,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,134,WE00038,D011,LO002,CO1,23.8,v1.4(may22-region),563.989,0.376,5653.000,141.316,6062.000,0.352,0.473,53.000,8.000,0.706,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,136,WE00040,D009,LO002,CO1,23.79,v1.4(may22-region),353.202,1.738,2436.000,5.548,3799.000,0.430,0.752,10.000,2.000,0.924,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,138,WE00042,D007,LO002,CO1,23.8,v1.4(may22-region),418.881,0.461,1894.000,40.930,6473.000,0.378,0.493,19.000,4.000,0.639,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,140,WE00044,D005,LO002,CO1,23.8,v1.4(may22-region),680.497,12.846,8059.000,6.418,9791.000,0.607,0.783,82.000,20.000,0.993,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,151,WE00055,E007,LO002,CO1,23.81,v1.4(may22-region),529.928,0.484,5778.000,80.851,6279.000,0.325,0.551,39.000,5.000,0.443,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,158,WE00062,F011,LO002,CO1,23.79,v1.4(may22-region),644.311,5.516,6407.000,22.034,5247.000,0.458,0.620,122.000,17.000,0.909,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,159,WE00063,F010,LO002,CO1,23.78,v1.4(may22-region),337.287,4.274,6360.000,5.783,4318.000,0.515,0.766,25.000,4.000,0.938,0.000,239.000,0.000,96.000,96.000,0.000
